                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.4067,                 1.4579,                  1.251,                0.47224,                 0.1021,                 0.1134,                0.03531,                 2.3993,                  3.129,                 1.9519,             0.00056911,             0.00056911,             0.00056911
                     34,                 1.3727,                 1.3845,                 1.2307,                0.25839,                0.10965,                0.11778,                0.03743,                 2.4425,                 3.1604,                 1.9796,             0.00056086,             0.00056086,             0.00056086
                     35,                 1.3619,                 1.3893,                 1.2366,                0.30661,                0.15652,                 0.1185,                0.03377,                 2.4399,                 3.3253,                  2.026,             0.00055261,             0.00055261,             0.00055261
                     36,                 1.3589,                 1.3321,                 1.2317,                 0.4996,                0.11396,                0.12486,                0.04994,                 2.4406,                 3.1406,                 1.9621,             0.00054437,             0.00054437,             0.00054437
                     37,                 1.3639,                 1.3527,                  1.234,                0.26045,                0.15574,                0.15807,                0.05321,                 2.4043,                 3.2014,                 1.8879,             0.00053612,             0.00053612,             0.00053612
                     38,                 1.3102,                 1.2806,                 1.2094,                 0.1545,                0.17767,                0.10404,                0.03959,                 2.4703,                 3.2366,                 1.9852,             0.00052787,             0.00052787,             0.00052787
                     39,                 1.3315,                 1.3023,                 1.2214,                0.23883,                0.13995,                0.11769,                0.04247,                 2.4739,                 3.2313,                  1.965,             0.00051963,             0.00051963,             0.00051963
                     40,                 1.3403,                 1.2788,                  1.221,                0.54314,                0.11863,                0.12973,                0.04722,                 2.4199,                 3.3295,                 1.9324,             0.00051138,             0.00051138,             0.00051138
                     41,                 1.3135,                 1.2653,                 1.2029,                0.51551,                0.17928,                0.13362,                  0.048,                 2.4498,                 3.2529,                 1.9331,             0.00050313,             0.00050313,             0.00050313
                     42,                 1.2666,                 1.2015,                 1.1873,                0.21891,                0.14181,                0.10051,                0.02871,                 2.5109,                 3.3971,                 2.0373,             0.00049489,             0.00049489,             0.00049489
                     43,                 1.2826,                 1.2065,                 1.1866,                0.16045,                0.15042,                0.11515,                0.03847,                 2.5028,                 3.3144,                 2.0154,             0.00048664,             0.00048664,             0.00048664
                     44,                 1.2591,                 1.1996,                 1.1705,                 0.1059,                0.13502,                0.08878,                0.03651,                 2.4084,                 3.3358,                 1.8984,             0.00047839,             0.00047839,             0.00047839
                     45,                 1.2263,                 1.1755,                 1.1589,                 0.2683,                0.13115,                0.12484,                0.03971,                 2.4067,                 3.3611,                 1.9285,             0.00047015,             0.00047015,             0.00047015
                     46,                 1.2297,                 1.1375,                 1.1565,                0.31794,                0.13944,                0.13276,                0.04948,                 2.4466,                 3.3762,                 1.9177,              0.0004619,              0.0004619,              0.0004619
                     47,                 1.2303,                 1.1004,                 1.1485,                0.58503,                0.11955,                0.15592,                0.05586,                 2.4172,                 3.2635,                 1.9125,             0.00045365,             0.00045365,             0.00045365
                     48,                  1.232,                 1.1065,                 1.1512,                0.14848,                0.13892,                0.11487,                0.03419,                 2.4555,                 3.3026,                 1.9272,             0.00044541,             0.00044541,             0.00044541
                     49,                 1.2277,                 1.1259,                 1.1406,                0.38016,                0.09796,                0.10556,                0.03104,                 2.4805,                 3.3713,                 1.9478,             0.00043716,             0.00043716,             0.00043716
                     50,                  1.186,                  1.065,                 1.1261,                 0.3386,                 0.1841,                0.14968,                0.04583,                 2.4047,                  3.302,                 1.9561,             0.00042891,             0.00042891,             0.00042891
                     51,                 1.1828,                 1.0706,                 1.1257,                0.22618,                0.16912,                 0.1172,                0.03944,                 2.4466,                 3.3715,                  1.964,             0.00042066,             0.00042066,             0.00042066
                     52,                 1.1599,                 1.0319,                  1.119,                0.18015,                0.12238,                 0.1032,                0.03979,                  2.433,                 3.2572,                 2.0354,             0.00041242,             0.00041242,             0.00041242
                     53,                  1.195,                 1.0608,                 1.1245,                0.35207,                0.23017,                0.13903,                0.04632,                 2.5011,                 3.3326,                 1.9937,             0.00040417,             0.00040417,             0.00040417
                     54,                 1.1834,                 1.0584,                 1.1199,                0.63455,                 0.1515,                0.14291,                0.05313,                 2.4202,                 3.3265,                 1.9109,             0.00039592,             0.00039592,             0.00039592
                     55,                 1.1878,                 1.0276,                 1.1165,                0.38696,                0.14562,                0.12975,                0.04841,                 2.5062,                 3.4885,                 2.0374,             0.00038768,             0.00038768,             0.00038768
                     56,                 1.1336,                0.97231,                 1.0989,                0.27316,                0.15317,                0.10594,                0.03036,                 2.4727,                 3.3604,                 2.0093,             0.00037943,             0.00037943,             0.00037943
                     57,                 1.1128,                 0.9615,                 1.0916,                0.11771,                0.16889,                0.12009,                0.03851,                 2.4199,                 3.2417,                 1.9516,             0.00037118,             0.00037118,             0.00037118
                     58,                 1.1034,                0.93976,                  1.083,                0.63828,                 0.1158,                0.11835,                0.04052,                 2.4393,                 3.3647,                 1.9171,             0.00036294,             0.00036294,             0.00036294
                     59,                  1.113,                0.95072,                 1.0844,                0.22966,                0.16166,                0.16351,                0.05224,                 2.4288,                 3.3008,                 1.9377,             0.00035469,             0.00035469,             0.00035469
                     60,                 1.0894,                0.93342,                 1.0765,                0.32947,                0.17647,                0.13342,                0.04361,                 2.4068,                 3.4259,                 1.9429,             0.00034644,             0.00034644,             0.00034644
                     61,                 1.0955,                0.95153,                 1.0768,                0.26352,                 0.2118,                0.14406,                0.04759,                 2.4926,                 3.5125,                 1.9656,              0.0003382,              0.0003382,              0.0003382
                     62,                 1.1227,                0.95621,                 1.0823,                0.48758,                0.09762,                0.11182,                0.03995,                 2.4747,                 3.3962,                 1.9421,             0.00032995,             0.00032995,             0.00032995
                     63,                 1.0809,                0.91235,                 1.0737,                 0.1928,                0.16021,                0.12665,                 0.0462,                  2.452,                 3.4522,                 1.9395,              0.0003217,              0.0003217,              0.0003217
                     64,                  1.094,                0.91431,                 1.0626,                0.33554,                0.15545,                0.12838,                0.04463,                 2.4204,                 3.3607,                 1.9821,             0.00031346,             0.00031346,             0.00031346
                     65,                 1.0849,                0.92078,                 1.0657,                0.14592,                0.14646,                0.14962,                0.05507,                 2.4258,                 3.2936,                 1.9437,             0.00030521,             0.00030521,             0.00030521
                     66,                 1.0538,                0.88888,                  1.067,                0.43958,                0.15262,                0.11898,                0.03804,                 2.4812,                 3.4973,                 1.9681,             0.00029696,             0.00029696,             0.00029696
                     67,                 1.0651,                0.86637,                 1.0521,                0.20382,                 0.1658,                0.13948,                 0.0467,                 2.4336,                 3.2794,                 1.9937,             0.00028872,             0.00028872,             0.00028872
                     68,                 1.0601,                0.87712,                 1.0513,                0.32819,                0.22427,                0.17327,                0.06276,                 2.4893,                 3.2116,                 1.9837,             0.00028047,             0.00028047,             0.00028047
                     69,                 1.0508,                0.87119,                 1.0458,                0.19388,                0.21925,                0.16312,                0.05846,                   2.44,                 3.3814,                 1.9204,             0.00027222,             0.00027222,             0.00027222
                     70,                 1.0143,                0.82792,                  1.033,                0.39269,                0.22502,                0.13927,                 0.0425,                 2.4521,                 3.4646,                 1.9144,             0.00026398,             0.00026398,             0.00026398
                     71,                 1.0453,                0.87433,                 1.0431,                0.36421,                0.14678,                0.12422,                0.04577,                 2.4826,                  3.384,                 1.9707,             0.00025573,             0.00025573,             0.00025573
                     72,                 1.0385,                0.83981,                 1.0418,                0.29872,                0.13948,                0.12098,                0.04313,                 2.4827,                 3.4923,                 1.9504,             0.00024748,             0.00024748,             0.00024748
                     73,                 1.0258,                0.83334,                 1.0329,                0.25542,                0.13835,                0.12509,                  0.043,                 2.5093,                 3.4302,                 1.9939,             0.00023924,             0.00023924,             0.00023924
                     74,                0.99148,                0.79322,                 1.0208,                0.35414,                0.14795,                0.13604,                0.03879,                 2.4597,                 3.4222,                 1.9297,             0.00023099,             0.00023099,             0.00023099
