                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.2828,                 1.6304,                 1.3321,                0.34688,                0.13277,                0.12926,                0.04802,                 2.3976,                  3.637,                 1.8706,             0.00056911,             0.00056911,             0.00056911
                     34,                 1.2349,                 1.5482,                 1.2806,                0.28533,                0.23064,                0.16055,                0.04852,                 2.4169,                 3.6839,                 1.9337,             0.00056086,             0.00056086,             0.00056086
                     35,                 1.1831,                 1.4392,                 1.2342,                0.28805,                0.15137,                0.11704,                0.03816,                 2.2874,                 3.6436,                 1.8153,             0.00055261,             0.00055261,             0.00055261
                     36,                 1.1448,                 1.4439,                 1.2417,                 0.3036,                0.11181,                0.09777,                0.03065,                 2.4267,                 3.8395,                 1.9094,             0.00054437,             0.00054437,             0.00054437
                     37,                 1.1651,                 1.4439,                 1.2573,                 0.2706,                0.12789,                0.11577,                0.03144,                 2.4375,                 3.7534,                 1.9728,             0.00053612,             0.00053612,             0.00053612
                     38,                 1.1394,                 1.3868,                 1.2302,                0.25392,                 0.1987,                0.16035,                0.04718,                 2.4104,                 3.6999,                 1.9257,             0.00052787,             0.00052787,             0.00052787
                     39,                 1.1704,                 1.4092,                 1.2582,                0.19927,                0.17405,                0.13134,                0.04185,                 2.3473,                 3.5729,                 1.8468,             0.00051963,             0.00051963,             0.00051963
                     40,                 1.1281,                 1.3195,                 1.2222,                0.10765,                0.18847,                0.10429,                0.04054,                 2.3347,                 3.7212,                 1.8554,             0.00051138,             0.00051138,             0.00051138
                     41,                 1.1562,                 1.3735,                 1.2387,                0.18323,                0.16091,                0.09606,                0.03178,                 2.3964,                 3.7071,                 1.8938,             0.00050313,             0.00050313,             0.00050313
                     42,                 1.1242,                 1.3591,                 1.2206,                0.46922,                0.12807,                0.13176,                0.03703,                 2.4063,                 3.5736,                 1.9334,             0.00049489,             0.00049489,             0.00049489
                     43,                 1.0719,                 1.2679,                 1.1971,                0.38867,                0.13462,                0.13731,                0.04343,                 2.3647,                  3.675,                 1.8553,             0.00048664,             0.00048664,             0.00048664
                     44,                 1.1089,                   1.29,                 1.1881,                0.20326,                0.20375,                0.15155,                0.04116,                 2.4065,                 3.7927,                  1.916,             0.00047839,             0.00047839,             0.00047839
                     45,                 1.0509,                 1.2465,                 1.1867,                0.30565,                0.14527,                 0.1152,                0.04006,                 2.4192,                 3.6208,                 1.9216,             0.00047015,             0.00047015,             0.00047015
                     46,                 1.0803,                 1.2528,                 1.1785,                0.22842,                0.14442,                0.14693,                0.04117,                 2.4624,                 3.5836,                 1.8831,              0.0004619,              0.0004619,              0.0004619
                     47,                 1.0524,                 1.2122,                 1.1864,                0.21675,                0.19955,                0.15163,                0.04913,                 2.4438,                 3.4565,                 1.9308,             0.00045365,             0.00045365,             0.00045365
                     48,                 1.0459,                  1.176,                 1.1593,                0.18611,                0.22201,                0.14487,                0.03732,                 2.4369,                 3.6059,                 1.9979,             0.00044541,             0.00044541,             0.00044541
                     49,                 1.0856,                 1.2142,                 1.1863,                0.23885,                 0.0979,                0.11076,                0.03161,                 2.4686,                 3.6006,                 1.9671,             0.00043716,             0.00043716,             0.00043716
                     50,                 1.0198,                 1.1586,                 1.1589,                0.15603,                0.19463,                0.11843,                0.04254,                 2.3503,                 3.5603,                 1.8371,             0.00042891,             0.00042891,             0.00042891
                     51,                 1.0194,                 1.1342,                 1.1669,                0.18501,                0.17332,                0.12212,                0.04646,                 2.4225,                 3.6556,                  1.897,             0.00042066,             0.00042066,             0.00042066
                     52,                 1.0142,                  1.111,                 1.1428,                0.18468,                0.14102,                0.11902,                0.04355,                 2.4169,                 3.5789,                  1.973,             0.00041242,             0.00041242,             0.00041242
                     53,                 1.0029,                 1.0932,                 1.1385,                0.21702,                0.22536,                 0.1657,                0.05806,                 2.3874,                 3.5095,                 1.9651,             0.00040417,             0.00040417,             0.00040417
                     54,                 0.9986,                 1.1016,                 1.1293,                 0.2323,                0.20569,                0.16382,                0.06394,                 2.4724,                 3.4354,                 1.9777,             0.00039592,             0.00039592,             0.00039592
                     55,                0.99356,                 1.0592,                 1.1425,                0.46978,                0.14377,                0.13857,                0.05448,                 2.4229,                 3.4104,                 1.9621,             0.00038768,             0.00038768,             0.00038768
                     56,                0.98943,                 1.0516,                 1.1278,                0.32538,                0.15195,                0.11845,                 0.0362,                 2.4814,                  3.582,                  1.973,             0.00037943,             0.00037943,             0.00037943
                     57,                 1.0403,                 1.1132,                 1.1551,                0.30838,                0.15007,                0.10041,                0.02933,                 2.4318,                 3.5745,                 1.9286,             0.00037118,             0.00037118,             0.00037118
                     58,                0.96905,                 1.0395,                  1.138,                0.31577,                0.15972,                0.12568,                0.04191,                  2.362,                 3.5882,                 1.9074,             0.00036294,             0.00036294,             0.00036294
                     59,                  0.941,                  1.023,                 1.1079,                0.60802,                 0.1069,                 0.0945,                0.02851,                  2.429,                 3.5948,                 1.9502,             0.00035469,             0.00035469,             0.00035469
                     60,                 0.9654,                 1.0225,                 1.1165,                0.16782,                0.12812,                0.11371,                0.03936,                 2.4031,                 3.5499,                 1.9951,             0.00034644,             0.00034644,             0.00034644
                     61,                0.93135,                0.98861,                  1.107,                0.22258,                0.15702,                0.12357,                0.04179,                 2.3921,                 3.4602,                 1.9145,              0.0003382,              0.0003382,              0.0003382
                     62,                0.92676,                0.97768,                 1.0906,                0.20311,                0.13506,                0.12158,                0.03826,                 2.3761,                 3.6893,                 1.9107,             0.00032995,             0.00032995,             0.00032995
                     63,                0.92032,                 0.9991,                 1.0988,                0.15827,                 0.1748,                0.11569,                0.03873,                 2.3779,                 3.5361,                 1.8941,              0.0003217,              0.0003217,              0.0003217
                     64,                0.90825,                0.93583,                 1.0958,                0.30976,                0.14602,                0.12013,                0.03821,                 2.3839,                 3.5775,                 1.9383,             0.00031346,             0.00031346,             0.00031346
                     65,                0.99051,                0.98104,                 1.1203,                0.32439,                0.16852,                0.11842,                0.04016,                 2.4756,                 3.6127,                 2.0236,             0.00030521,             0.00030521,             0.00030521
                     66,                0.90509,                0.93414,                 1.0999,                0.36037,                0.12535,                0.11353,                0.03902,                 2.4262,                 3.6116,                 1.9608,             0.00029696,             0.00029696,             0.00029696
                     67,                0.92097,                0.92804,                 1.0882,                0.16684,                0.15991,                0.12355,                0.04317,                 2.4528,                  3.491,                 1.9543,             0.00028872,             0.00028872,             0.00028872
                     68,                0.92407,                0.96021,                  1.097,                0.15898,                0.13863,                0.11292,                0.04273,                 2.3582,                 3.5338,                 1.9152,             0.00028047,             0.00028047,             0.00028047
                     69,                0.91561,                0.93829,                 1.0929,                0.15158,                0.14152,                0.10592,                0.04041,                 2.3788,                 3.6043,                  1.921,             0.00027222,             0.00027222,             0.00027222
                     70,                0.89222,                0.88793,                 1.0688,                0.34381,                0.13984,                0.10471,                0.03244,                 2.3819,                 3.6073,                 1.9385,             0.00026398,             0.00026398,             0.00026398
                     71,                0.91444,                0.91565,                 1.0711,                0.23304,                0.15219,                0.12625,                0.04568,                 2.4045,                 3.4523,                   1.96,             0.00025573,             0.00025573,             0.00025573
                     72,                0.86965,                0.91491,                 1.0694,                0.18898,                0.16969,                0.12315,                0.04578,                 2.4953,                 3.5275,                 1.9925,             0.00024748,             0.00024748,             0.00024748
                     73,                0.87032,                 0.8719,                 1.0686,                0.36444,                0.16264,                0.12698,                0.04372,                 2.4665,                 3.5342,                 1.9844,             0.00023924,             0.00023924,             0.00023924
                     74,                 0.8562,                0.86467,                  1.057,                0.30634,                 0.1785,                0.12389,                0.04971,                 2.4217,                 3.5104,                 1.9161,             0.00023099,             0.00023099,             0.00023099
                     75,                  0.839,                 0.8088,                 1.0425,                0.30104,                0.13036,                0.11705,                0.04399,                 2.4659,                 3.5248,                  1.916,             0.00022274,             0.00022274,             0.00022274
                     76,                0.85548,                0.84108,                 1.0476,                0.35686,                0.12314,                0.11154,                0.03819,                 2.4514,                 3.5039,                 1.9533,              0.0002145,              0.0002145,              0.0002145
                     77,                0.80835,                0.81988,                 1.0376,                0.16249,                0.16402,                 0.1159,                0.04227,                 2.4622,                 3.6572,                 1.9432,             0.00020625,             0.00020625,             0.00020625
                     78,                0.79985,                 0.8099,                 1.0422,                0.34271,                0.14497,                0.12322,                0.04477,                 2.4876,                 3.6029,                 1.9838,               0.000198,               0.000198,               0.000198
                     79,                0.81974,                0.84091,                 1.0461,                 0.3495,                0.16663,                0.12093,                0.04091,                 2.5019,                 3.5057,                 2.0091,             0.00018976,             0.00018976,             0.00018976
                     80,                0.82171,                0.79587,                 1.0274,                0.29985,                0.17585,                0.11749,                0.04045,                 2.4866,                 3.5279,                 2.0112,             0.00018151,             0.00018151,             0.00018151
                     81,                0.82542,                0.82966,                   1.04,                0.29372,                0.15779,                0.10987,                0.03625,                  2.461,                 3.4921,                 2.0028,             0.00017326,             0.00017326,             0.00017326
                     82,                0.77961,                0.77077,                 1.0171,                0.31438,                0.14062,                0.11859,                0.04091,                 2.4787,                 3.4786,                  2.043,             0.00016502,             0.00016502,             0.00016502
                     83,                0.79558,                0.78239,                 1.0276,                0.22086,                0.15551,                0.12033,                0.04852,                 2.4483,                 3.4805,                 2.0124,             0.00015677,             0.00015677,             0.00015677
                     84,                0.78272,                 0.7618,                 1.0184,                0.25502,                0.14695,                0.11451,                0.04188,                 2.4335,                 3.4705,                 1.9539,             0.00014852,             0.00014852,             0.00014852
                     85,                0.78988,                0.78004,                  1.027,                0.35946,                 0.1589,                0.12292,                0.04802,                 2.4128,                 3.4571,                 1.9383,             0.00014028,             0.00014028,             0.00014028
                     86,                0.81852,                0.82629,                 1.0368,                0.37011,                0.14946,                0.12583,                0.04283,                 2.4335,                 3.5089,                 1.9715,             0.00013203,             0.00013203,             0.00013203
                     87,                0.75376,                0.73561,                 1.0022,                0.23124,                0.15394,                0.12171,                0.04181,                 2.4224,                 3.5742,                 1.9779,             0.00012378,             0.00012378,             0.00012378
